,Zipcode,City,State,Latitude,Longitude
646,01467,still river,ma,42.4871,-71.6131
647,02072,stoughton,ma,42.1251,-71.10227
648,01775,stow,ma,42.423882,-71.51086
649,01518,fiskdale,ma,42.11621,-72.11341
651,01566,sturbridge,ma,42.10843,-72.07869
652,01776,sudbury,ma,42.38532,-71.42989
653,01590,sutton,ma,42.1501,-71.76285
656,01468,templeton,ma,42.55564,-72.06758
657,01876,tewksbury,ma,42.601684000000006,-71.22071
658,01983,topsfield,ma,42.63759,-70.9495
659,01469,townsend,ma,42.658738,-71.69204
660,01474,west townsend,ma,42.669408000000004,-71.74578000000001
663,02666,truro,ma,41.99344,-70.04975
664,01879,tyngsboro,ma,42.67676,-71.42451
665,01569,uxbridge,ma,42.07732,-71.62951
666,02568,vineyard haven,ma,41.45428,-70.60364
668,02573,vineyard haven,ma,41.379836,-70.64309200000001
671,01880,wakefield,ma,42.50648,-71.07283
672,02081,walpole,ma,42.14177,-71.2495
673,02571,wareham,ma,41.751554,-70.71059
674,01778,wayland,ma,42.3626,-71.36145
675,01570,webster,ma,42.047728,-71.86108
677,01571,dudley,ma,42.0451,-71.93007
678,02667,wellfleet,ma,41.922412,-70.01484
679,01984,wenham,ma,42.6017,-70.8786
680,02668,west barnstable,ma,41.70566,-70.37447
682,01580,westborough,ma,42.364807,-71.89686800000001
683,01581,westborough,ma,42.26954,-71.61618
684,01582,westborough,ma,42.364807,-71.89686800000001
685,01885,west boxford,ma,42.635443,-70.87912299999999
686,01583,west boylston,ma,42.36676,-71.78563
687,02379,west bridgewater,ma,42.01899,-71.00782
689,01585,west brookfield,ma,42.23537,-72.14119
691,02669,west chatham,ma,41.68122,-69.99113
692,02670,west dennis,ma,41.66456,-70.1728
693,02574,west falmouth,ma,41.60427,-70.63447
695,01886,westford,ma,42.57926,-71.43784
696,01472,west groton,ma,42.446396,-71.459405
697,02671,west harwich,ma,41.66678,-70.11613
698,02672,west hyannisport,ma,41.63622,-70.3203
700,01441,gardner,ma,42.364807,-71.89686800000001
701,01473,westminster,ma,42.54592,-71.91063
702,01985,west newbury,ma,42.790735999999995,-70.97286
703,02575,west tisbury,ma,41.38122,-70.67447
704,01568,upton,ma,42.17454,-71.60229
705,02576,west wareham,ma,41.776042,-70.75783
706,02090,westwood,ma,42.212949,-71.20735
707,02381,white horse beach,ma,41.93094,-70.55781
709,01588,whitinsville,ma,42.11121,-71.66618
711,02382,whitman,ma,42.08066,-70.9356
712,01887,wilmington,ma,42.558576,-71.17031
713,01475,winchendon,ma,42.675441,-72.0467
714,01477,winchendon springs,ma,42.364807,-71.89686800000001
716,01890,winchester,ma,42.45232,-71.137
717,01801,woburn,ma,42.47926,-71.15228
718,01807,woburn,ma,42.446396,-71.459405
719,01813,woburn,ma,42.446396,-71.459405
720,01815,woburn,ma,42.446396,-71.459405
721,01888,woburn,ma,42.446396,-71.459405
722,01784,woodville,ma,42.446396,-71.459405
723,01601,worcester,ma,42.265275,-71.87941500000001
724,01602,worcester,ma,42.272359,-71.84482
725,01603,worcester,ma,42.26259,-71.80229
726,01604,worcester,ma,42.255393,-71.77459
727,01605,worcester,ma,42.286543,-71.78846
728,01606,worcester,ma,42.311341999999996,-71.79531
729,01607,worcester,ma,42.229543,-71.79500999999999
730,01608,worcester,ma,42.26259,-71.80229
731,01609,worcester,ma,42.26259,-71.80229
732,01610,worcester,ma,42.248492999999996,-71.80793
733,01611,cherry valley,ma,42.24315,-71.87313
734,01612,paxton,ma,42.3112,-71.92813
736,01613,worcester,ma,42.293316,-71.801971
737,01614,worcester,ma,42.364807,-71.89686800000001
738,01615,worcester,ma,42.364807,-71.89686800000001
739,01653,worcester,ma,42.364807,-71.89686800000001
740,01654,worcester,ma,42.364807,-71.89686800000001
741,01655,worcester,ma,42.364807,-71.89686800000001
742,02093,wrentham,ma,42.0597,-71.34617
743,02675,yarmouth port,ma,41.703205,-70.22395
744,02364,kingston,ma,41.993102,-70.73827
745,02347,lakeville,ma,41.835094,-70.95973000000001
746,04406,abbot,me,45.19376,-69.47581
748,04001,acton,me,43.548123,-70.93189
749,04606,addison,me,44.556073,-67.70121999999999
750,04910,albion,me,44.53229,-69.44254
751,04002,alfred,me,43.490939000000004,-70.6884
753,04535,alna,me,44.10619,-69.60366
754,04216,andover,me,44.661894000000004,-70.79952
755,04911,anson,me,44.78029,-69.93424
757,04732,ashland,me,46.63115,-68.40615
761,04912,athens,me,44.92311,-69.67283
763,04210,auburn,me,44.089172999999995,-70.24143000000001
764,04211,auburn,me,44.197009,-70.239485
765,04212,auburn,me,44.197009,-70.239485
766,04330,augusta,me,44.31062,-69.77949
769,04332,augusta,me,44.414056,-69.751913
770,04333,augusta,me,44.414056,-69.751913
771,04336,augusta,me,44.315692999999996,-69.818009
772,04338,augusta,me,44.414056,-69.751913
773,04408,aurora,me,44.85424,-68.32808
775,04003,bailey island,me,43.72758,-69.99505
776,04401,bangor,me,44.81777,-68.78952
